dataset,cancer,gene,group_a,group_b,mean_a,mean_b,log2FC,t_stat,p_value,n_a,n_b
GSE199274,NEPC,MIR6762,LKO_control,shCXCR7,0.0,0.3786,28.496,-1.9431,0.109633,6,6
GSE199274,NEPC,SLC8B1,LKO_control,shCXCR7,6.7869,8.7981,0.3744,-1.015,0.336464,6,6
GSE199274,NEPC,PLBD2,LKO_control,shCXCR7,16.6465,18.5301,0.1547,-0.4989,0.630697,6,6
GSE199274,NEPC,SDS,LKO_control,shCXCR7,0.0505,0.128,1.3408,-0.6335,0.550847,6,6
GSE199274,NEPC,SDSL,LKO_control,shCXCR7,16.1945,17.6629,0.1252,-0.2506,0.807236,6,6
GSE199274,NEPC,LHX5,LKO_control,shCXCR7,0.0145,0.1301,3.1637,-1.4807,0.197155,6,6
GSE199274,NEPC,LHX5-AS1,LKO_control,shCXCR7,0.0,0.074,26.1405,-1.0,0.363217,6,6
GSE199274,NEPC,LINC01234,LKO_control,shCXCR7,0.3168,0.8798,1.4737,-3.6737,0.009223,6,6
GSE199274,NEPC,RBM19,LKO_control,shCXCR7,4.6047,3.9306,-0.2284,1.025,0.330011,6,6
GSE199274,NEPC,TBX5,LKO_control,shCXCR7,0.0561,0.1338,1.2536,-1.2412,0.26004,6,6
GSE199274,NEPC,TBX5-AS1,LKO_control,shCXCR7,0.0,0.0385,25.1996,-1.0,0.363217,6,6
GSE199274,NEPC,TBX3,LKO_control,shCXCR7,117.7487,85.1641,-0.4674,3.1552,0.020299,6,6
GSE199274,NEPC,MED13L,LKO_control,shCXCR7,7.4172,6.9041,-0.1034,0.3566,0.728816,6,6
GSE199274,NEPC,MIR620,LKO_control,shCXCR7,0.0,0.0492,25.5518,-1.0,0.363217,6,6
GSE199274,NEPC,MIR4472-2,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,LINC00173,LKO_control,shCXCR7,0.0,0.0513,25.6124,-1.0,0.363217,6,6
GSE199274,NEPC,MAP1LC3B2,LKO_control,shCXCR7,0.6194,0.7577,0.2906,-0.9978,0.341892,6,6
GSE199274,NEPC,C12orf49,LKO_control,shCXCR7,8.5671,7.4484,-0.2019,0.5047,0.625351,6,6
GSE199274,NEPC,RNFT2,LKO_control,shCXCR7,2.8061,1.467,-0.9357,7.715,4.9e-05,6,6
GSE199274,NEPC,HRK,LKO_control,shCXCR7,0.0379,0.0735,0.9546,-0.6435,0.537617,6,6
GSE199274,NEPC,FBXW8,LKO_control,shCXCR7,4.5578,4.9118,0.1079,-0.4407,0.67043,6,6
GSE199274,NEPC,LOC100506551,LKO_control,shCXCR7,0.0456,0.0607,0.4143,-0.3163,0.762498,6,6
GSE199274,NEPC,TESC,LKO_control,shCXCR7,3.457,2.1795,-0.6655,1.1774,0.27263,6,6
GSE199274,NEPC,TESC-AS1,LKO_control,shCXCR7,0.0,0.0904,26.4305,-1.0,0.363217,6,6
GSE199274,NEPC,FBXO21,LKO_control,shCXCR7,14.5582,11.186,-0.3801,2.2327,0.056404,6,6
GSE199274,NEPC,NOS1,LKO_control,shCXCR7,0.0023,0.0604,4.6899,-0.961,0.380657,6,6
GSE199274,NEPC,KSR2,LKO_control,shCXCR7,0.5519,0.4505,-0.2927,0.6961,0.502256,6,6
GSE199274,NEPC,RFC5,LKO_control,shCXCR7,11.6268,8.3573,-0.4763,1.9147,0.088534,6,6
GSE199274,NEPC,WSB2,LKO_control,shCXCR7,31.9608,10.2342,-1.6429,12.3959,0.0,6,6
GSE199274,NEPC,VSIG10,LKO_control,shCXCR7,9.9934,16.6334,0.735,-2.2624,0.054871,6,6
GSE199274,NEPC,PEBP1,LKO_control,shCXCR7,177.9791,152.3514,-0.2243,0.6347,0.540434,6,6
GSE199274,NEPC,TAOK3,LKO_control,shCXCR7,16.1854,13.3706,-0.2756,1.3131,0.222156,6,6
GSE199274,NEPC,SUDS3,LKO_control,shCXCR7,14.9734,12.1742,-0.2986,1.7729,0.112266,6,6
GSE199274,NEPC,SRRM4,LKO_control,shCXCR7,0.0016,0.0601,5.2391,-0.9732,0.3751,6,6
GSE199274,NEPC,HSPB8,LKO_control,shCXCR7,0.5877,2.7283,2.215,-2.7782,0.03438,6,6
GSE199274,NEPC,LINC00934,LKO_control,shCXCR7,0.0,0.0367,25.1298,-1.0,0.363217,6,6
GSE199274,NEPC,CCDC60,LKO_control,shCXCR7,0.1137,0.1329,0.2248,-0.3326,0.748926,6,6
GSE199274,NEPC,TMEM233,LKO_control,shCXCR7,0.0075,0.0951,3.6591,-0.918,0.400254,6,6
GSE199274,NEPC,PRKAB1,LKO_control,shCXCR7,10.3313,9.7818,-0.0788,0.4662,0.657447,6,6
GSE199274,NEPC,CIT,LKO_control,shCXCR7,2.8658,1.1909,-1.2669,1.9348,0.108049,6,6
GSE199274,NEPC,MIR1178,LKO_control,shCXCR7,0.1679,0.0,-27.3228,1.0,0.363217,6,6
GSE199274,NEPC,CCDC64,LKO_control,shCXCR7,6.3832,6.4158,0.0073,-0.0249,0.981037,6,6
GSE199274,NEPC,RAB35,LKO_control,shCXCR7,18.7354,15.6193,-0.2624,1.1459,0.282107,6,6
GSE199274,NEPC,GCN1,LKO_control,shCXCR7,33.9478,25.8481,-0.3933,1.8332,0.0975,6,6
GSE199274,NEPC,MIR4498,LKO_control,shCXCR7,0.0,0.0708,26.0772,-1.0,0.363217,6,6
GSE199274,NEPC,RPLP0,LKO_control,shCXCR7,435.2914,621.9726,0.5149,-2.1936,0.074543,6,6
GSE199274,NEPC,PXN-AS1,LKO_control,shCXCR7,3.4417,4.0859,0.2476,-0.7826,0.455216,6,6
GSE199274,NEPC,PXN,LKO_control,shCXCR7,25.8723,32.8697,0.3453,-1.4326,0.18831,6,6
GSE199274,NEPC,RNU4-2,LKO_control,shCXCR7,0.4325,0.3632,-0.2518,0.1916,0.851982,6,6
GSE199274,NEPC,RNU4-1,LKO_control,shCXCR7,0.1198,0.8343,2.7997,-2.2082,0.065573,6,6
GSE199274,NEPC,SIRT4,LKO_control,shCXCR7,1.1014,0.9423,-0.2251,0.927,0.383445,6,6
GSE199274,NEPC,PLA2G1B,LKO_control,shCXCR7,0.0,0.1239,26.8845,-1.2725,0.259147,6,6
GSE199274,NEPC,MSI1,LKO_control,shCXCR7,0.5421,0.3856,-0.4914,0.8024,0.444288,6,6
GSE199274,NEPC,COX6A1,LKO_control,shCXCR7,152.8365,124.441,-0.2965,1.5773,0.17051,6,6
GSE199274,NEPC,TRIAP1,LKO_control,shCXCR7,38.973,37.2333,-0.0659,0.3039,0.769063,6,6
GSE199274,NEPC,GATC,LKO_control,shCXCR7,12.2933,9.6893,-0.3434,2.0485,0.08895,6,6
GSE199274,NEPC,SRSF9,LKO_control,shCXCR7,71.1132,75.3082,0.0827,-0.4342,0.6787,6,6
GSE199274,NEPC,DYNLL1,LKO_control,shCXCR7,126.813,100.6056,-0.334,1.9371,0.096486,6,6
GSE199274,NEPC,NRAV,LKO_control,shCXCR7,6.6473,6.1146,-0.1205,0.6815,0.519857,6,6
GSE199274,NEPC,COQ5,LKO_control,shCXCR7,27.9981,17.8993,-0.6454,3.8826,0.004318,6,6
GSE199274,NEPC,RNF10,LKO_control,shCXCR7,30.2233,52.1369,0.7866,-3.0771,0.01983,6,6
GSE199274,NEPC,POP5,LKO_control,shCXCR7,40.5758,28.9327,-0.4879,2.6209,0.028468,6,6
GSE199274,NEPC,CABP1,LKO_control,shCXCR7,0.0492,0.0863,0.8103,-0.4534,0.665909,6,6
GSE199274,NEPC,MLEC,LKO_control,shCXCR7,60.5074,56.1132,-0.1088,0.6105,0.564145,6,6
GSE199274,NEPC,UNC119B,LKO_control,shCXCR7,22.7802,21.4473,-0.087,0.4651,0.656258,6,6
GSE199274,NEPC,MIR4700,LKO_control,shCXCR7,0.0,0.0,0.0,0.0,1.0,6,6
GSE199274,NEPC,ACADS,LKO_control,shCXCR7,19.8861,19.0856,-0.0593,0.3228,0.759446,6,6
GSE199274,NEPC,SPPL3,LKO_control,shCXCR7,13.8335,13.7202,-0.0119,0.0611,0.953048,6,6
GSE199274,NEPC,XLOC_009911,LKO_control,shCXCR7,0.0271,0.0936,1.7892,-0.9978,0.352041,6,6
GSE199274,NEPC,HNF1A-AS1,LKO_control,shCXCR7,0.0,0.0704,26.0688,-1.1028,0.320323,6,6
GSE199274,NEPC,HNF1A,LKO_control,shCXCR7,0.3449,0.2852,-0.2743,0.6911,0.507604,6,6
GSE199274,NEPC,C12orf43,LKO_control,shCXCR7,7.0884,4.1816,-0.7614,5.9172,0.000345,6,6
GSE199274,NEPC,OASL,LKO_control,shCXCR7,0.6632,1.0214,0.6232,-1.0604,0.322451,6,6
GSE199274,NEPC,P2RX7,LKO_control,shCXCR7,0.5318,0.9001,0.759,-3.5232,0.008381,6,6
GSE199274,NEPC,P2RX4,LKO_control,shCXCR7,10.7945,13.1788,0.2879,-0.9357,0.377874,6,6
GSE199274,NEPC,CAMKK2,LKO_control,shCXCR7,11.1434,8.5007,-0.3905,1.798,0.102387,6,6
GSE199274,NEPC,ANAPC5,LKO_control,shCXCR7,64.6034,58.565,-0.1416,0.8127,0.446672,6,6
GSE199274,NEPC,RNF34,LKO_control,shCXCR7,20.6814,19.6928,-0.0707,0.3793,0.715425,6,6
GSE199274,NEPC,KDM2B,LKO_control,shCXCR7,6.9892,5.1319,-0.4456,1.992,0.077823,6,6
GSE199274,NEPC,MIR7107,LKO_control,shCXCR7,1.3653,0.5815,-1.2315,1.1385,0.287802,6,6
GSE199274,NEPC,MIR548AQ,LKO_control,shCXCR7,0.2694,0.2518,-0.097,0.0746,0.942025,6,6
GSE199274,NEPC,ORAI1,LKO_control,shCXCR7,15.0925,10.4973,-0.5238,2.4989,0.034942,6,6
GSE199274,NEPC,MORN3,LKO_control,shCXCR7,2.2558,1.0823,-1.0595,2.487,0.044744,6,6
GSE199274,NEPC,TMEM120B,LKO_control,shCXCR7,4.3745,4.2779,-0.0322,0.1202,0.906749,6,6
GSE199274,NEPC,RHOF,LKO_control,shCXCR7,1.0765,0.7389,-0.5429,1.1875,0.263091,6,6
GSE199274,NEPC,LINC01089,LKO_control,shCXCR7,7.8271,6.6536,-0.2343,0.9029,0.387921,6,6
GSE199274,NEPC,SETD1B,LKO_control,shCXCR7,8.3022,7.3794,-0.17,0.6671,0.519851,6,6
GSE199274,NEPC,HPD,LKO_control,shCXCR7,0.6723,0.821,0.2884,-1.1722,0.277282,6,6
GSE199274,NEPC,PSMD9,LKO_control,shCXCR7,21.4996,15.513,-0.4708,3.0972,0.017359,6,6
GSE199274,NEPC,WDR66,LKO_control,shCXCR7,1.0176,1.4981,0.558,-3.2313,0.014214,6,6
GSE199274,NEPC,BCL7A,LKO_control,shCXCR7,7.6823,8.0228,0.0626,-0.3226,0.756382,6,6
GSE199274,NEPC,MLXIP,LKO_control,shCXCR7,15.7542,15.9766,0.0202,-0.1189,0.90868,6,6
GSE199274,NEPC,LRRC43,LKO_control,shCXCR7,0.0422,0.1522,1.8511,-1.3336,0.237182,6,6
GSE199274,NEPC,IL31,LKO_control,shCXCR7,0.0144,0.0517,1.8458,-0.6954,0.513824,6,6
GSE199274,NEPC,B3GNT4,LKO_control,shCXCR7,1.8006,2.2763,0.3382,-0.8105,0.4427,6,6
GSE199274,NEPC,DIABLO,LKO_control,shCXCR7,15.531,15.9171,0.0354,-0.1858,0.857394,6,6
GSE199274,NEPC,LOC101593348,LKO_control,shCXCR7,0.3121,0.993,1.6699,-5.935,0.000156,6,6
GSE199274,NEPC,VPS33A,LKO_control,shCXCR7,10.4684,8.6511,-0.2751,1.3411,0.210944,6,6
GSE199274,NEPC,CLIP1,LKO_control,shCXCR7,17.75,15.4747,-0.1979,0.6379,0.538311,6,6
GSE199274,NEPC,CLIP1-AS1,LKO_control,shCXCR7,0.3152,0.5859,0.8943,-1.4941,0.172588,6,6
GSE199274,NEPC,ZCCHC8,LKO_control,shCXCR7,6.5111,7.1274,0.1305,-0.7569,0.478406,6,6
GSE199274,NEPC,RSRC2,LKO_control,shCXCR7,35.5984,33.2259,-0.0995,0.5656,0.594142,6,6
GSE199274,NEPC,KNTC1,LKO_control,shCXCR7,5.6057,3.1607,-0.8266,1.7394,0.130057,6,6
GSE199274,NEPC,HCAR2,LKO_control,shCXCR7,0.0209,0.0993,2.2452,-1.2032,0.278471,6,6
GSE199274,NEPC,HCAR3,LKO_control,shCXCR7,0.0081,0.0327,2.0161,-0.9115,0.397319,6,6
GSE199274,NEPC,HCAR1,LKO_control,shCXCR7,0.0059,0.0957,4.026,-0.9937,0.365633,6,6
GSE199274,NEPC,DENR,LKO_control,shCXCR7,28.2737,19.5718,-0.5307,2.8345,0.01899,6,6
GSE199274,NEPC,CCDC62,LKO_control,shCXCR7,0.4579,0.4829,0.0768,-0.2342,0.819558,6,6
GSE199274,NEPC,HIP1R,LKO_control,shCXCR7,11.9015,16.7264,0.491,-1.3384,0.213286,6,6
GSE199274,NEPC,VPS37B,LKO_control,shCXCR7,17.0452,22.8918,0.4255,-1.6963,0.13439,6,6
GSE199274,NEPC,ABCB9,LKO_control,shCXCR7,6.2281,5.9495,-0.066,0.1927,0.851088,6,6
GSE199274,NEPC,OGFOD2,LKO_control,shCXCR7,9.2621,10.4836,0.1787,-0.8947,0.405353,6,6
GSE199274,NEPC,ARL6IP4,LKO_control,shCXCR7,48.5044,37.0924,-0.387,2.3008,0.050799,6,6
GSE199274,NEPC,PITPNM2,LKO_control,shCXCR7,2.6277,3.405,0.3739,-1.4732,0.172491,6,6
GSE199274,NEPC,MIR4304,LKO_control,shCXCR7,0.0,0.0754,26.1674,-1.0,0.363217,6,6
GSE199274,NEPC,LOC100507091,LKO_control,shCXCR7,0.0141,0.1655,3.5494,-1.8953,0.115099,6,6
GSE199274,NEPC,MPHOSPH9,LKO_control,shCXCR7,8.3295,6.0145,-0.4698,2.2993,0.044364,6,6
GSE199274,NEPC,C12orf65,LKO_control,shCXCR7,10.3484,10.9887,0.0866,-0.4289,0.681311,6,6
GSE199274,NEPC,CDK2AP1,LKO_control,shCXCR7,50.1787,50.9178,0.0211,-0.0934,0.928252,6,6
GSE199274,NEPC,SBNO1,LKO_control,shCXCR7,13.3942,8.1144,-0.723,4.3628,0.00193,6,6
GSE199274,NEPC,MIR8072,LKO_control,shCXCR7,8.0471,3.1393,-1.358,1.9359,0.098517,6,6
GSE199274,NEPC,SETD8,LKO_control,shCXCR7,12.2918,12.3781,0.0101,-0.0251,0.980507,6,6
GSE199274,NEPC,RILPL2,LKO_control,shCXCR7,27.7542,17.119,-0.6971,0.9846,0.351476,6,6
GSE199274,NEPC,SNRNP35,LKO_control,shCXCR7,7.4597,5.019,-0.5717,3.5475,0.00701,6,6
GSE199274,NEPC,RILPL1,LKO_control,shCXCR7,6.2641,5.9563,-0.0727,0.494,0.636491,6,6
GSE199274,NEPC,MIR3908,LKO_control,shCXCR7,0.0,0.0742,26.1443,-1.0,0.363217,6,6
GSE199274,NEPC,LOC101927415,LKO_control,shCXCR7,1.0614,1.1479,0.113,-0.5107,0.621246,6,6
GSE199274,NEPC,TMED2,LKO_control,shCXCR7,100.49,116.9475,0.2188,-0.9264,0.385215,6,6
GSE199274,NEPC,DDX55,LKO_control,shCXCR7,19.1615,15.9463,-0.265,1.6255,0.159732,6,6
GSE199274,NEPC,EIF2B1,LKO_control,shCXCR7,36.1407,32.9334,-0.1341,0.6207,0.552209,6,6
GSE199274,NEPC,GTF2H3,LKO_control,shCXCR7,14.481,19.5336,0.4318,-2.1122,0.082497,6,6
GSE199274,NEPC,TCTN2,LKO_control,shCXCR7,3.5272,2.7674,-0.35,1.3415,0.212879,6,6
GSE199274,NEPC,ATP6V0A2,LKO_control,shCXCR7,3.9252,2.7157,-0.5314,1.9484,0.08033,6,6
GSE199274,NEPC,DNAH10,LKO_control,shCXCR7,0.1071,0.1298,0.277,-0.5296,0.61632,6,6
GSE199274,NEPC,CCDC92,LKO_control,shCXCR7,3.8834,4.7506,0.2908,-1.6437,0.154604,6,6
GSE199274,NEPC,ZNF664,LKO_control,shCXCR7,49.6052,32.0447,-0.6304,3.0897,0.011452,6,6
GSE199274,NEPC,ZNF664-FAM101A,LKO_control,shCXCR7,0.0244,0.0324,0.413,-0.3155,0.761152,6,6
GSE199274,NEPC,FAM101A,LKO_control,shCXCR7,0.0,0.0109,23.3734,-1.0,0.363217,6,6
GSE199274,NEPC,NCOR2,LKO_control,shCXCR7,21.0845,27.4776,0.3821,-1.7651,0.111581,6,6
GSE199274,NEPC,MIR6880,LKO_control,shCXCR7,0.435,0.1507,-1.5291,0.6175,0.55895,6,6
GSE199274,NEPC,SCARB1,LKO_control,shCXCR7,26.0946,36.4502,0.4822,-1.2865,0.230357,6,6
GSE199274,NEPC,UBC,LKO_control,shCXCR7,106.82,132.4305,0.3101,-1.5506,0.177156,6,6
