candidate,disease,p0,p1,design,required_n,incidence_arm,us_cases_per_year,trial_eligible_per_year,capture_fraction,accrued_per_year,years_to_accrue
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,6.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,2.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,2.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,2.6
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,10.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,10.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,11.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,5.3
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,5.3
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,5.6
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,A'Hern,16,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,2.1
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon minimax,16,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,2.1
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.05,0.25,Simon optimal,17,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,2.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,18.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,18.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,21.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,9.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,9.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,10.9
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,3.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,3.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,4.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,16.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,16.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,19.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,8.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,8.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,9.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,A'Hern,25,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,3.3
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon minimax,25,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,3.3
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.1,0.3,Simon optimal,29,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,3.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,21.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,21.0
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.7/million (Dores 2015),234.5,26.6,0.05,1.33,25.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,10.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,10.5
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.7/million (Dores 2015),234.5,26.6,0.1,2.66,12.8
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,4.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,4.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.7/million (Dores 2015),234.5,26.6,0.25,6.66,5.1
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,18.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,18.4
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.8/million (Dores 2015),268.0,30.5,0.05,1.52,22.3
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,9.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,9.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.8/million (Dores 2015),268.0,30.5,0.1,3.05,11.2
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,A'Hern,28,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,3.7
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon minimax,28,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,3.7
177Lu-DOTATATE,NEUROD1+ small-cell bladder cancer,0.15,0.35,Simon optimal,34,IR 0.8/million (Dores 2015),268.0,30.5,0.25,7.61,4.5
