context,pathway,overlap_k,pathway_size_K,de_set_size_n,pvalue,overlap_genes,qvalue_BH
SCBC_POU2F3,Cell_Cycle,0,158,66,1.0,,1.0
SCBC_POU2F3,Apoptosis,0,137,66,1.0,,1.0
SCBC_POU2F3,HIF1_signaling,1,110,66,0.3055230901344329,LTBR,1.0
SCBC_POU2F3,VEGF_signaling,1,60,66,0.1801394555213222,PLA2G4A,1.0
SCBC_POU2F3,Homologous_Recombination,0,41,66,1.0,,1.0
SCBC_POU2F3,PI3K_AKT_signaling,1,362,66,0.7010636956442107,ITGB4,1.0
SCBC_POU2F3,p53_signaling,0,75,66,1.0,,1.0
SCBC_POU2F3,Chemokine_signaling,1,193,66,0.47325583424506,CCR4,1.0
SCBC_POU2F3,Cytokine_receptor_interaction,2,298,66,0.2580619320150839,CCR4; LTBR,1.0
SCBC_POU2F3,Antigen_processing_presentation,0,82,66,1.0,,1.0
SCBC_POU2F3,PDL1_PD1_checkpoint,0,90,66,1.0,,1.0
SCBC_POU2F3,Pentose_phosphate_pathway,0,31,66,1.0,,1.0
SCBC_POU2F3,Arachidonic_acid_metabolism,2,63,66,0.018404957230188,PLA2G4A; PTGS1,0.331289230143384
SCBC_POU2F3,Neuroactive_ligand_receptor,1,371,66,0.7099869516348378,P2RY10,1.0
SCBC_POU2F3,Prostate_cancer,0,106,66,1.0,,1.0
SCBC_POU2F3,Bladder_cancer,0,41,66,1.0,,1.0
SCBC_POU2F3,Renal_cell_carcinoma,0,70,66,1.0,,1.0
SCBC_POU2F3,Epigenetic_Regulation,0,94,66,1.0,,1.0
SCBC_NEUROD1,Cell_Cycle,0,158,30,1.0,,1.0
SCBC_NEUROD1,Apoptosis,0,137,30,1.0,,1.0
SCBC_NEUROD1,HIF1_signaling,0,110,30,1.0,,1.0
SCBC_NEUROD1,VEGF_signaling,0,60,30,1.0,,1.0
SCBC_NEUROD1,Homologous_Recombination,0,41,30,1.0,,1.0
SCBC_NEUROD1,PI3K_AKT_signaling,1,362,30,0.4221122275083289,PRKAA2,1.0
SCBC_NEUROD1,p53_signaling,0,75,30,1.0,,1.0
SCBC_NEUROD1,Chemokine_signaling,0,193,30,1.0,,1.0
SCBC_NEUROD1,Cytokine_receptor_interaction,1,298,30,0.3628135121456039,EDA,1.0
SCBC_NEUROD1,Antigen_processing_presentation,0,82,30,1.0,,1.0
SCBC_NEUROD1,PDL1_PD1_checkpoint,0,90,30,1.0,,1.0
SCBC_NEUROD1,Pentose_phosphate_pathway,0,31,30,1.0,,1.0
SCBC_NEUROD1,Arachidonic_acid_metabolism,0,63,30,1.0,,1.0
SCBC_NEUROD1,Neuroactive_ligand_receptor,2,371,30,0.1063382729075834,CHRNA1; SSTR2,1.0
SCBC_NEUROD1,Prostate_cancer,0,106,30,1.0,,1.0
SCBC_NEUROD1,Bladder_cancer,0,41,30,1.0,,1.0
SCBC_NEUROD1,Renal_cell_carcinoma,0,70,30,1.0,,1.0
SCBC_NEUROD1,Epigenetic_Regulation,0,94,30,1.0,,1.0
