legacy_symbol,current_symbol,source
821D11.7,SREBF2-AS1,alias_symbol
87U6,GNAI3,alias_symbol
8B,SYNE1,alias_symbol
8D6,CD320,alias_symbol
8D6A,CD320,alias_symbol
8HS20,VPREB3,alias_symbol
9-27,IFITM1,alias_symbol
90K,LGALS3BP,alias_symbol
9630046K23RIK,POGLUT1,alias_symbol
9F,FAM50A,alias_symbol
9G8,SLU7,alias_symbol
A-152E5.1,CCL22,alias_symbol
A-2,GPR162,alias_symbol
A-761H5.2,CDC37P1,alias_symbol
A-923A4.1,ACSM2A,alias_symbol
A-C1,PLAAT1,alias_symbol
A-FABP,FABP4,alias_symbol
A-LAP,ERAP1,alias_symbol
A-MYB,MYBL1,alias_symbol
A-RAF,ARAF,alias_symbol
A-ROD,LNCAROD,alias_symbol
A-SCID,DCLRE1C,alias_symbol
A1,ATP6V0A1,alias_symbol
A1-5,ZNF2,alias_symbol
A10,IGKV6D-21,alias_symbol
A12.2,POLR1H,alias_symbol
A121,EIF1,alias_symbol
A14GALT,A4GALT,alias_symbol
A15,TSPAN7,alias_symbol
A170,SQSTM1,alias_symbol
A1A,SERPINA1,alias_symbol
A1AG1,ORM1,alias_symbol
A1AT,SERPINA1,alias_symbol
A1B,SNTB1,alias_symbol
A1BG-AS,A1BG-AS1,prev_symbol
A1BGAS,A1BG-AS1,prev_symbol
A1S9T,UBA1,prev_symbol
A1U,UBQLN4,alias_symbol
A2,GPHA2,alias_symbol
A20,IGKV1-27,alias_symbol
A211C6.1,LYRM1,alias_symbol
A214N16.3,PRUNE2,alias_symbol
A26,IGKV6-21,alias_symbol
A26A1,POTEA,prev_symbol
A26B1,POTEB,prev_symbol
A26B2,POTEC,prev_symbol
A26B3,POTED,prev_symbol
A26C1,POTEE,alias_symbol
A26C1A,POTEE,prev_symbol
A26C1B,POTEF,prev_symbol
A26C2,POTEG,prev_symbol
A26C3,POTEH,prev_symbol
A28-RGS14,RGS16,alias_symbol
A2AP,SERPINF2,alias_symbol
A2BP1,RBFOX1,alias_symbol
A2D,ATXN2L,alias_symbol
A2HS,AHSG,alias_symbol
A2LD1,GGACT,prev_symbol
A2LP,ATXN2L,alias_symbol
A2MP1,PZP2P,prev_symbol
A2MR,LRP1,prev_symbol
A2MRAP,LRPAP1,prev_symbol
A2V,ATP6V0A2,alias_symbol
A3,TCIRG1,alias_symbol
A30,IGKV1-17,alias_symbol
A33,GPA33,alias_symbol
A34.5,POLR1G,alias_symbol
A3A,DAG1,alias_symbol
A3AR,ADORA3,alias_symbol
A3B,SGCB,alias_symbol
A3GALNT,ABO,alias_symbol
A3GALT1,ABO,alias_symbol
A3GALT2P,A3GALT2,prev_symbol
A4,PLP2,alias_symbol
A4-LSB,PLP2,alias_symbol
A43,POLR1F,alias_symbol
A6,TWF1,alias_symbol
A6L,MT-ATP8,alias_symbol
A6PS1,TWF1P1,alias_symbol
A6PS2,TWF1P2,alias_symbol
A6R,TWF2,alias_symbol
A6RP,TWF2,alias_symbol
A7NACHR,CHRNA7,alias_symbol
A8-51,ZNF3,alias_symbol
AA,TEAD1,prev_symbol
AAA1,NPSR1-AS1,alias_symbol
AAAT,SLC1A5,alias_symbol
AAC-11,API5,alias_symbol
AAC1,NAT1,prev_symbol
AAC11,API5,alias_symbol
AAC2,NAT2,prev_symbol
AACP,NATP,prev_symbol
AACSL,AACSP1,prev_symbol
AACT,SERPINA3,prev_symbol
AADACL1,NCEH1,prev_symbol
AADC,DDC,alias_symbol
AAED1,PRXL2C,prev_symbol
AAF132,CTC1,alias_symbol
AAG3,SRSF7,alias_symbol
AAIR8193,APOOL,alias_symbol
AAKG,PRKAG2,alias_symbol
AAKG2,PRKAG2,alias_symbol
AAP,SERPINF2,alias_symbol
AAP1,RYBP,alias_symbol
AARS,AARS1,prev_symbol
AARSL,AARS2,prev_symbol
AARSP1,AARS1P1,prev_symbol
AASD-PPT,AASDHPPT,alias_symbol
AAT,SERPINA1,alias_symbol
AAT-1,CFAP91,alias_symbol
