gene,l2fc_12h_RMC2C,qval_12h_RMC2C,l2fc_48h_RMC2C,qval_48h_RMC2C,l2fc_12h_RMC219,qval_12h_RMC219,l2fc_48h_RMC219,qval_48h_RMC219,mean_l2fc_48h
SAMD11,-1.5385974328321,4.58801782080185e-09,3.87266119135599,1.49332755167471e-194,-0.0324600024500505,0.999847911406781,1.70296407000933,0.0294601049630158,2.78781263068266
SLC6A12,2.15116365469924,0.322176924197644,4.2153756025702,0.0128642231744787,0.285598276091542,0.999847911406781,1.127320669357,0.00286879940221699,2.6713481359636
RP11-299G20.2,0.678392838370566,0.588373749994054,2.11890193306326,0.0160328811829995,1.89457009404272,0.999847911406781,3.07760499058146,0.0185555511967657,2.59825346182236
TTC39A,-0.785554663728876,0.228751637313548,2.07887887709366,7.65357290801437e-08,1.77989209843685,0.999847911406781,3.07801114685669,2.34196506817507e-05,2.578445011975175
GPSM3,1.59571265832724,0.00113846818528577,3.59938121688193,1.69649134404303e-19,0.235717048670145,0.999847911406781,1.45497513872958,0.0478750696975749,2.527178177805755
TJP3,-2.58906413035019,0.00299185637004619,3.42346363142614,1.1369816617503e-25,0.189891210066538,0.999847911406781,1.62907379458218,0.000802816711509191,2.52626871300416
RP11-54O7.3,-0.63638908428546,0.219046618427787,3.89548016963362,6.34922060606568e-49,0.0674593478921214,0.999847911406781,1.110311644198,0.046346141967414,2.50289590691581
KIAA1199,-1.26855672493402,3.18426169342722e-09,2.12493742477736,1.86456767763936e-57,4.26009516294888,6.07486201571129e-12,2.87570937359926,2.61190094314959e-06,2.50032339918831
FBXO32,-0.526288375429577,0.0695756846700547,3.41065432638895,2.01755862619647e-95,-0.121628267409237,0.999847911406781,1.54998809506364,1.01316692728912e-05,2.480321210726295
KLF12,-0.344924193692094,0.913210479268734,3.61112361563043,0.0180854415806863,0.197980173406497,0.999847911406781,1.31930416097982,1.74966751833379e-10,2.465213888305125
FAM160A1,1.52527114659091,0.000132259002046479,3.41027701796775,1.33449743817776e-25,0.743186568360344,0.999847911406781,1.37023450982279,8.68263626381288e-06,2.39025576389527
CD22,0.658282371660475,0.596966183384483,3.56255424392971,2.23537188080264e-06,0.0521365592359059,0.999847911406781,1.11766003232534,9.98619469290143e-24,2.340107138127525
TCP11L2,-2.41010641526199,2.17618324438789e-09,2.12857713792514,1.1093548770868e-27,0.140293759713184,0.999847911406781,2.54512180624919,3.06087873484405e-09,2.336849472087165
PDE5A,-0.0416531357353162,0.971432508401846,3.27664839881972,8.84016946797373e-14,-0.0759309860584503,0.999847911406781,1.28041055246294,0.023375224985212,2.27852947564133
SLC2A1-AS1,-2.13862344503473,0.152305420500122,1.68690839268076,0.0382016528019544,1.59488781896753,0.999847911406781,2.78580546092148,0.0215792648058291,2.23635692680112
CPE,-1.80282066536179,0.00218809790410935,3.08060686871832,4.21468348471421e-28,0.291564151308155,0.999847911406781,1.32699295573332,5.46776747983846e-16,2.20379991222582
MLXIPL,0.980842167766168,0.543462633433394,3.12656086854348,0.00488015261821416,0.331627328795108,0.999847911406781,1.27457361328083,0.0369574946757997,2.200567240912155
LIMCH1,-1.05500937076549,0.389047837804805,2.81370070396827,8.08522586927935e-06,0.644023620446857,0.999847911406781,1.57634007395893,1.02007309478098e-06,2.1950203889636
MCAM,1.41757030862037,6.53808406409247e-22,3.09876481309089,1.92890539679227e-136,2.130039965874,1.53305503250578e-07,1.26880490226668,0.00136734855169394,2.183784857678785
SLC6A20,-0.68474205132161,0.0391043791852812,2.86063485418787,1.75290754205146e-46,-0.15529427121899,0.999847911406781,1.43031622036599,0.000592834504253899,2.14547553727693
TCN2,-0.210167910449253,0.768536526645588,2.29067813338568,2.09946441106747e-09,0.204432642862121,0.999847911406781,1.90930010936888,4.04901346804955e-07,2.09998912137728
FGFR3,0.413739126761874,0.159424405394685,2.47803657663251,5.30203046538868e-35,0.351724412010282,0.999847911406781,1.55444725298234,1.19076031888838e-08,2.0162419148074253
SALL2,-0.209818314646692,0.408047814740079,2.17222926947134,6.79463015179033e-48,0.382593507206406,0.999847911406781,1.85034553410663,6.36393794923488e-06,2.011287401788985
ANK3,-0.557332644181296,0.0933408027079316,1.85431465007233,2.96413180119715e-18,0.838826296164987,0.999847911406781,2.14857436444829,2.83538403661119e-05,2.00144450726031
C1orf106,1.34147933298061,0.00159676072590837,1.98731744284749,4.84711363787015e-08,1.16408086272982,0.999847911406781,2.01394025144061,1.86930120640562e-05,2.00062884714405
FZD7,0.457760864850863,0.00670913338378577,2.56419611843147,2.90163236165307e-97,0.153601172768382,0.999847911406781,1.42858388841138,2.49996151135607e-05,1.9963900034214248
MAP2K6,1.44152172735357,0.341774983602307,2.88385073866367,0.0149805695494229,0.0059743162879777,0.999847911406781,1.08157840493156,3.81315331481571e-19,1.9827145717976151
SYBU,0.17399731030722,0.863822427253026,1.62033859524121,0.00685110955348439,2.27102384496976,0.0996664619806029,2.32786435921785,0.00116945376653544,1.97410147722953
KLHDC8B,-0.116825307368726,0.712937882139848,2.85585749252976,3.77178103841563e-68,0.325502716324064,0.999847911406781,1.05123869246798,1.50372257068024e-09,1.95354809249887
CCDC136,0.742481997652187,0.206192786216462,1.93685217804809,8.80851466997089e-06,0.754375368841856,0.999847911406781,1.82025937843468,0.0139499930858909,1.878555778241385
ATP8B1,-0.00393223703089733,0.985466806068007,1.63945655563385,3.53201529804913e-64,2.17839436966523,0.0268605647782038,2.06939098486337,0.000829089673048116,1.85442377024861
