gene,log2fc,pvalue,qvalue
MCF2L,2.0029054770459025,5.1587276957321896e-05,0.01576067174688768
ILDR2,1.994396539854442,2.7940313615067126e-05,0.010749259543574436
ALCAM,1.9454595029318673,5.529092269043101e-05,0.01617843547737612
HOXB7,1.930685743655486,7.701495436384969e-05,0.020378524003491102
SEC11C,1.9120960608383015,4.977007450066361e-06,0.003133252417428141
DNAJC12,1.8972065492278576,0.0002442953770428427,0.03677707578308013
KIAA1199,1.8878591743168043,0.00012536075944111157,0.024339904461580304
ETS2,1.8262102389524522,2.074104345003502e-06,0.0022678693561814607
ID2,1.8075599367391577,0.00012736781611011815,0.02448562834537494
RAB3B,1.7904607739827894,0.00036177376585364024,0.047269496764838846
AMACR,1.7652643156920584,0.00010968489533979645,0.022431660673554166
KIAA1244,1.7585383402421213,2.542965750425179e-06,0.0023958871501552933
FAM59A,1.7235248896632624,0.0003858781356559054,0.048917126731817494
RIPK4,1.7146408621885039,0.00014171867062220053,0.02527624269578723
CCDC154,1.6995517064216195,0.00037842446914227985,0.04883085929460164
GCH1,1.684928025195756,7.886813138633308e-08,0.00032769708591021395
DLGAP1-AS1,1.6803674769730548,6.15662108327844e-05,0.017521068904809534
TTC9,1.6593381325213592,0.00013999878406477774,0.02527624269578723
MED12L,1.572006667281939,0.00017187978449203538,0.02856642018257628
LOC283663,1.5608393543339023,8.416744833810378e-05,0.02106721372559164
ITPR3,1.5287554010128606,2.78199191323999e-05,0.010749259543574436
KITLG,1.5214088375418093,7.17460432473089e-06,0.004258640138465264
AKR7A3,1.509895623749328,0.00035975477461303767,0.047269496764838846
PERP,1.4748980132584606,9.275602017455604e-06,0.005071069260858953
FRY,1.4686620180799341,1.3815981742947248e-05,0.006540193155354041
CLDN3,1.4326022147186013,0.00022473787215674713,0.03433036245629722
SPINT2,1.4209349408180447,3.8833666185075775e-06,0.002602481983854675
C10orf113,1.3958967061636418,0.0003037159284937678,0.041786082214953814
NPDC1,1.2889427628269985,2.5656354392629354e-05,0.010370436865676378
TBC1D8,1.256576558323978,1.587348442027569e-05,0.007168948670244075
TRIM36,1.2359698834824489,0.00011013378525643922,0.022431660673554166
STARD10,1.216064820662802,0.00010793541051224993,0.022431660673554166
ABHD2,1.200290261867682,0.0003105999074059173,0.04190073426206449
NUCB2,1.141823764804899,0.0001578572468623825,0.027356425254001723
TSPAN13,1.0773739840671883,0.00013345311871438274,0.025124449828835643
SPPL2B,1.0633716499365402,7.590056048873141e-05,0.020378524003491102
GCA,1.0579479986551572,0.00023885937613214134,0.036221193716388586
MAPK10,1.0503019379253038,0.00010870856705856116,0.022431660673554166
