probe_id,gene,log2fc,pvalue,qvalue
ILMN_2382687,NR4A3,-1.021684767340913,1.530207743169804e-06,1.673347431012335e-05
ILMN_1734878,CD79A,-1.0210515336740666,9.535699861321043e-05,0.0006234815375607129
ILMN_1727605,FRK,-1.019761651844317,1.0751327442727879e-13,8.513254616846817e-12
ILMN_1781803,FIZ1,-1.0183642651805034,8.993193048515316e-15,9.784927118008684e-13
ILMN_1731206,NKD2,-1.0177526766504572,0.000935382448259495,0.004416074041682161
ILMN_2195236,PGRMC2,-1.017540879529041,8.463002966659903e-11,3.0542707389627515e-09
ILMN_1680110,C10orf116,-1.0167581950559352,9.810945341681798e-07,1.1351561295887599e-05
ILMN_1742044,GNAI1,-1.014935428018851,2.087794186177744e-15,2.7503645653517307e-13
ILMN_1710170,PPAP2C,-1.0148519146685775,2.4323638541104232e-17,4.996891814139993e-15
ILMN_2371825,AGL,-1.0143978312616344,5.728394287766387e-13,3.676470200110567e-11
ILMN_1770612,KRT15,-1.0143434037155856,0.00013150991782180568,0.0008240970255655259
ILMN_1668760,HAS3,-1.0136599396660877,8.587437252142169e-06,7.67954776731143e-05
ILMN_2042941,TMEM159,-1.0131477119070889,6.13570561589078e-13,3.879435554423797e-11
ILMN_1669390,PPP1R13L,-1.0123551403069806,1.4358187366681931e-07,2.1142880715339105e-06
ILMN_3246391,SNORD52,-1.011429671190328,8.054022195840594e-17,1.516685961841084e-14
ILMN_1710523,ATP8B1,-1.0108202109787632,9.79085620537268e-08,1.507473704115478e-06
ILMN_2335557,ITIH5,-1.0103951924949595,2.0220441207540133e-07,2.8489971287957145e-06
ILMN_1791545,KRT23,-1.0092116773490973,1.2063859894165167e-09,3.12797892419144e-08
ILMN_1676159,MST4,-1.009201734591831,6.568712967966935e-12,3.216151347666077e-10
ILMN_1669046,FOXQ1,-1.0088570603600893,3.4889548314850874e-06,3.463840016375039e-05
ILMN_3307863,TAOK3,-1.007569352384527,1.1722704731472528e-09,3.050291380836744e-08
ILMN_2400874,SCYL1,-1.0045546385091457,6.182252667303326e-20,2.3284107257355103e-17
ILMN_1654016,MRLC2,-1.0016213679997579,5.4319428201864e-07,6.693547996166773e-06
ILMN_3248032,NCCRP1,-1.0013187337077998,1.829734487687863e-12,1.0199641374726065e-10
ILMN_1744211,PLA2G4F,-1.0012583083664603,7.54895074182992e-10,2.066780297695597e-08
ILMN_2374352,DBNDD1,-1.0006815269137448,1.030885241750721e-15,1.4845252817113201e-13
ILMN_1770505,BIK,-1.0001975873867313,4.810531494790725e-09,1.0673639253962774e-07
