gene,l2fc_12h_2C,q_12h_2C,l2fc_48h_2C,q_48h_2C,l2fc_disease_12h_2C,l2fc_disease_48h_2C,l2fc_12h_219,q_12h_219,l2fc_48h_219,q_48h_219,l2fc_disease_12h_219,l2fc_disease_48h_219,up_RMC2C,up_RMC219,up_both,mean_l2fc_disease_48h
SKAP2,-0.287318038043934,8.56090105188399e-06,0.508309159581604,3.381739849381e-21,0.287318038043934,-0.508309159581604,0.0383972063488551,0.999847911406781,0.538690590494214,3.0567812300485e-06,-0.0383972063488551,-0.538690590494214,False,False,False,-0.523499875037909
SLC25A5,0.092011682671268,0.0761051419659996,0.0262842512632822,0.688952207681787,-0.092011682671268,-0.0262842512632822,-0.0630857892810094,0.999847911406781,-0.230129748801804,0.0136589192548413,0.0630857892810094,0.230129748801804,False,False,False,0.1019227487692609
MCUB,0.614873570384553,1.39936028114813e-07,-0.404582711968479,0.000419623442256068,-0.614873570384553,0.404582711968479,-0.152207653292521,0.999847911406781,-0.0861446913588256,0.566794975247167,0.152207653292521,0.0861446913588256,False,False,False,0.2453637016636523
HOXA11,0.59094523608443,0.00053822673367394,-0.0288024959759667,0.921576527672568,-0.59094523608443,0.0288024959759667,-0.96600041976562,,-0.645876274297108,,0.96600041976562,0.645876274297108,False,False,False,0.3373393851365374
POLR2J,0.728354569722037,1.89452692634189e-12,0.330257551205455,0.00112711225368153,-0.728354569722037,-0.330257551205455,-0.113126843908639,0.999847911406781,-0.206751573386172,0.197790106257998,0.113126843908639,0.206751573386172,False,False,False,-0.06175298890964151
DHX33,0.292799944692753,4.10017664684423e-06,-0.564297049603578,3.88696079727408e-23,-0.292799944692753,0.564297049603578,0.0719944486567059,0.999847911406781,-0.311856410760004,0.00104750950018691,-0.0719944486567059,0.311856410760004,True,False,False,0.43807673018179094
MEOX1,-1.4305077038294,0.020124970051494,-1.24199367312203,0.0192785302034353,1.4305077038294,1.24199367312203,-1.87759233868733,,-1.7145027531759,,1.87759233868733,1.7145027531759,True,False,False,1.478248213148965
THSD7A,-2.84581868994699,4.45133222377755e-56,-0.562794030911748,7.68634101371471e-06,2.84581868994699,0.562794030911748,-0.320061293442786,0.999847911406781,0.130286522854942,0.854691584407227,0.320061293442786,-0.130286522854942,True,False,False,0.21625375402840297
LIG3,0.0827388313449373,0.464273034462566,-0.371493664364616,7.57408980057574e-06,-0.0827388313449373,0.371493664364616,0.066202826980192,0.999847911406781,-0.125816385055472,0.253383491817914,-0.066202826980192,0.125816385055472,False,False,False,0.248655024710044
RPAP3,0.597923269509275,2.20882645682435e-10,0.075529926536079,0.551794402728987,-0.597923269509275,-0.075529926536079,-0.00822541981056438,0.999847911406781,-0.251359632798097,0.0270296092414532,0.00822541981056438,0.251359632798097,False,False,False,0.087914853131009
ACSM3,-2.21911564995208,9.62540237374445e-07,-0.271910455816238,0.533603960789112,2.21911564995208,0.271910455816238,-0.902859357825437,0.999847911406781,1.62242607261257,0.0243509417969634,0.902859357825437,-1.62242607261257,False,False,False,-0.6752578083981661
AC004381.6,0.155636668793154,0.47813954720343,0.147739910047307,0.495937947393536,-0.155636668793154,-0.147739910047307,0.145081911260734,0.999847911406781,0.214641443612473,0.186831376658903,-0.145081911260734,-0.214641443612473,False,False,False,-0.18119067682988999
CIAPIN1,0.74140801339915,1.73637797636759e-25,0.0283377462861318,0.803427112528446,-0.74140801339915,-0.0283377462861318,-0.0629047211986407,0.999847911406781,-0.279694964097528,0.0232808183477581,0.0629047211986407,0.279694964097528,False,False,False,0.1256786089056981
SPPL2B,-0.265746534142932,0.00978271077855093,0.10484399651748,0.342586287658423,0.265746534142932,-0.10484399651748,-0.00640017662769256,0.999847911406781,-0.135058037735752,0.560972876132933,0.00640017662769256,0.135058037735752,False,False,False,0.015107020609136004
