context,direction,rank,term,pvalue,qvalue,is_nominated_agent,n_up_genes
sarcomatoid urothelial carcinoma,reversal,22,LJP006 MCF10A 24H-canertinib-0.04,1.8599144820376432e-10,2.470389139982817e-07,False,1172
sarcomatoid urothelial carcinoma,reversal,23,LJP005 MCF10A 24H-trametinib-0.37,2.1759510596025075e-10,2.7644985179410816e-07,False,1172
sarcomatoid urothelial carcinoma,reversal,24,LJP005 MCF7 24H-dovitinib-10,2.3736103899187453e-10,2.8899695501589857e-07,False,1172
sarcomatoid urothelial carcinoma,reversal,25,LJP006 HME1 24H-palbociclib-10,2.473268552843156e-10,2.890855215305194e-07,True,1172
sarcomatoid urothelial carcinoma,mimicry (control),1,CPC004 A375 6H-vorinostat-10.0,3.4886680798802787e-06,0.10597178159444334,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),2,CPC007 A375 24H-BRD-K84203638-10.0,1.452783405396521e-05,0.22064874361162362,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),3,CPC012 PC3 24H-BRD-K81795824-10.0,4.690984548580277e-05,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),4,LJP009 HEPG2 24H-ON-01910-10,0.00010131869201262659,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),5,CPC017 A549 6H-trichostatin a-10.0,0.00010437457730205038,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),6,CPC006 A375 6H-nutlin-3-44.4,0.00011065386533327454,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),7,CPC006 A375 24H-BRD-K37865504-10.0,0.0001235902322843879,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),8,CPC008 A375 6H-BRD-K01896723-10.0,0.00013809684549030829,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),9,CPC010 MCF7 24H-itavastatin ca-10.0,0.00015862529127005475,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),10,CPC006 VCAP 24H-teniposide-1.25,0.0001690953099365928,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),11,CPC020 A549 6H-depo-medrol-10.0,0.0001690953099365928,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),12,CPC005 A375 6H-thioridazine hydrochloride-10.0,0.00017468991835601827,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),13,CPC013 VCAP 24H-s1367-10.0,0.00019266166060465326,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),14,CPC006 MCF7 24H-BRD-A36630025-0.35,0.00019842630379413476,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),15,CPC004 VCAP 6H-amsacrine-10.0,0.00020202912532654257,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),16,CPC010 PC3 24H-vorinostat-10.0,0.00020740655214775963,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),17,CPC012 PC3 24H-BRD-A19248578-10.0,0.00020890482963882242,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),18,LJP005 HT29 24H-PF-477736-10,0.00020890482963882242,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),19,CPC006 VCAP 6H-BRD-A36630025-0.35,0.00022686624139759142,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),20,CPC009 PC3 24H-BRD-A98444709-10.0,0.0002489433494760708,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),21,CPC008 A375 6H-trichostatin a-10.0,0.00025792924227769764,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),22,CPC015 A375 6H-scriptaid-10.0,0.00026120853377617075,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),23,CPC014 A549 6H-km 00927-10.0,0.00027676652729791124,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),24,CPC004 HA1E 6H-piplartine-10.0,0.00028116086270991785,0.3350228255122957,False,1172
sarcomatoid urothelial carcinoma,mimicry (control),25,CPC006 PC3 6H-auranofin-10.0,0.00028943420248849795,0.3350228255122957,False,1172
SCBC ASCL1+,reversal,1,LJP005 MDAMB231 3H-PD-184352-0.04,5.587867497795321e-07,0.009688803454427308,False,225
SCBC ASCL1+,reversal,2,LJP005 SKBR3 24H-CGP-60474-0.12,1.4904115329297909e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,3,LJP006 LNCAP 3H-GSK-2126458-0.04,1.9599358643648782e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,4,LJP005 SKBR3 3H-TG-101348-3.33,2.8995213718802418e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,5,LJP005 SKBR3 24H-GSK-690693-10,3.405696670685443e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,6,LJP006 BT20 24H-A443654-10,4.327978809459522e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,7,LJP006 PC3 24H-radicicol-0.12,4.536668505347021e-06,0.01123732788774457,False,225
SCBC ASCL1+,reversal,8,LJP005 SKBR3 24H-CGP-60474-3.33,5.730820439133267e-06,0.012420836949266463,False,225
SCBC ASCL1+,reversal,9,LJP006 MCF7 24H-afatinib-10,8.146687382180682e-06,0.01569504583551454,False,225
SCBC ASCL1+,reversal,10,LJP006 BT20 24H-A443654-3.33,9.365685823882312e-06,0.016239162650029542,False,225
SCBC ASCL1+,reversal,11,LJP008 HT29 24H-pracinostat-10,1.0661905047701928e-05,0.016806070147463974,False,225
SCBC ASCL1+,reversal,12,LJP007 PC3 24H-DCC-2036-10,1.3644034696146323e-05,0.018422530199711636,False,225
SCBC ASCL1+,reversal,13,LJP005 SKBR3 24H-dovitinib-10,1.3812382063339942e-05,0.018422530199711636,False,225
SCBC ASCL1+,reversal,14,LJP006 LNCAP 24H-A443654-1.11,1.88375685141137e-05,0.023130118320089533,False,225
SCBC ASCL1+,reversal,15,LJP006 SKBR3 24H-JNK-9L-1.11,2.0009906845916313e-05,0.023130118320089533,False,225
SCBC ASCL1+,reversal,16,LJP005 SKBR3 24H-mitoxantrone-1.11,2.5607836931488686e-05,0.02767725098721378,False,225
SCBC ASCL1+,reversal,17,LJP009 A549 24H-ON-01910-3.33,2.7997374079019635e-05,0.02767725098721378,False,225
SCBC ASCL1+,reversal,18,LJP005 A549 24H-trametinib-3.33,2.8732367366621375e-05,0.02767725098721378,False,225
SCBC ASCL1+,reversal,19,LJP008 HEPG2 24H-iniparib-10,3.12036325122305e-05,0.028475778112082347,False,225
SCBC ASCL1+,reversal,20,LJP009 HA1E 24H-GW-5074-10,3.469826768526615e-05,0.03008166316974149,False,225
SCBC ASCL1+,reversal,21,LJP006 MCF10A 3H-WYE-125132-1.11,4.889565777559061e-05,0.039599214462540076,False,225
SCBC ASCL1+,reversal,22,LJP005 A549 24H-withaferin-a-0.04,5.075303785465595e-05,0.039599214462540076,False,225
SCBC ASCL1+,reversal,23,LJP006 A549 24H-JNK-9L-0.37,5.252793890295991e-05,0.039599214462540076,False,225
SCBC ASCL1+,reversal,24,LJP005 MCF10A 3H-geldanamycin-0.04,6.283286560955556e-05,0.04262858414435753,False,225
SCBC ASCL1+,reversal,25,LJP005 A549 24H-pelitinib-10,6.347966715972591e-05,0.04262858414435753,False,225
SCBC ASCL1+,mimicry (control),1,LJP006 A549 24H-dasatinib-0.12,8.284522438590023e-09,0.0001580935416956134,False,225
SCBC ASCL1+,mimicry (control),2,LJP007 MCF7 24H-AT7867-3.33,3.39331692138757e-08,0.000323773334054195,False,225
SCBC ASCL1+,mimicry (control),3,LJP009 PC3 24H-dasatinib-1.11,7.760383640016839e-08,0.0004936380033414711,False,225
SCBC ASCL1+,mimicry (control),4,LJP008 A549 24H-dasatinib-1.11,2.3524926147781053e-07,0.0010729531877500748,False,225
SCBC ASCL1+,mimicry (control),5,LJP006 HT29 24H-geldanamycin-10,3.0189581766227065e-07,0.0010729531877500748,False,225
SCBC ASCL1+,mimicry (control),6,LJP005 MCF7 24H-WH-4-025-1.11,3.3735361979250895e-07,0.0010729531877500748,False,225
SCBC ASCL1+,mimicry (control),7,LJP005 MCF10A 24H-radicicol-0.12,5.086215364777331e-07,0.0011697975367005843,False,225
SCBC ASCL1+,mimicry (control),8,LJP006 MCF10A 3H-PHA-793887-10,5.153347398111836e-07,0.0011697975367005843,False,225
SCBC ASCL1+,mimicry (control),9,LJP006 HME1 3H-mitoxantrone-1.11,6.554357536619408e-07,0.0011697975367005843,False,225
SCBC ASCL1+,mimicry (control),10,LJP006 LNCAP 3H-AZD-5438-3.33,6.587780572283023e-07,0.0011697975367005843,False,225
SCBC ASCL1+,mimicry (control),11,LJP005 PC3 24H-GDC-0980-3.33,6.743055548764045e-07,0.0011697975367005843,False,225
SCBC ASCL1+,mimicry (control),12,LJP007 PC3 24H-sutent-10,8.66455283419346e-07,0.001377880514457615,False,225
SCBC ASCL1+,mimicry (control),13,LJP006 SKBR3 24H-saracatinib-10,1.1741284290142962e-06,0.0017235302162215242,False,225
SCBC ASCL1+,mimicry (control),14,LJP009 PC3 24H-dasatinib-3.33,1.803571724350159e-06,0.0023848443000826147,False,225
SCBC ASCL1+,mimicry (control),15,LJP009 PC3 24H-dasatinib-0.04,1.9995550385852244e-06,0.0023848443000826147,False,225
SCBC ASCL1+,mimicry (control),16,LJP005 PC3 24H-SU-11274-10,1.9995550385852244e-06,0.0023848443000826147,False,225
SCBC ASCL1+,mimicry (control),17,LJP005 MCF7 3H-CP466722-0.12,2.2133592125281175e-06,0.00248456081486318,False,225
SCBC ASCL1+,mimicry (control),18,LJP006 HME1 3H-AZD-5438-1.11,2.66432922471944e-06,0.002740738387589341,False,225
SCBC ASCL1+,mimicry (control),19,LJP005 HCC515 24H-withaferin-a-0.04,2.8995213718802418e-06,0.002740738387589341,False,225
SCBC ASCL1+,mimicry (control),20,LJP008 PC3 24H-dasatinib-10,2.9751077133576533e-06,0.002740738387589341,False,225
SCBC ASCL1+,mimicry (control),21,LJP006 SKBR3 3H-PI-103-3.33,3.0160617376395834e-06,0.002740738387589341,False,225
SCBC ASCL1+,mimicry (control),22,LJP006 HME1 3H-CGP-60474-1.11,3.405696670685443e-06,0.0029541322530313775,False,225
SCBC ASCL1+,mimicry (control),23,LJP005 A549 24H-dasatinib-1.11,4.737701992837933e-06,0.00378089358926528,False,225
SCBC ASCL1+,mimicry (control),24,LJP006 MCF10A 24H-BI-2536-3.33,4.8414101682480455e-06,0.00378089358926528,False,225
SCBC ASCL1+,mimicry (control),25,LJP005 A549 24H-NVP-AUY922-0.37,4.953222225626578e-06,0.00378089358926528,False,225
SCBC NEUROD1+,reversal,1,LJP005 PC3 24H-CP466722-3.33,0.00014047193487328206,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,2,LJP005 BT20 24H-CGP-60474-0.04,0.0001825931686229406,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,3,LJP008 PC3 24H-GSK-1059615-0.37,0.00019167176285246338,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,4,CPC013 VCAP 24H-BRD-K86761848-10.0,0.0002009680615243086,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,5,LJP006 HS578T 24H-alvocidib-0.04,0.0002831546947100322,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,6,CPC006 NCIH1836 6H-importazole-60.0,0.0004744654203814996,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,7,CPC014 MCF7 6H-gr-235-10.0,0.0004999862257578379,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,8,CPC007 A375 6H-BRD-K93443135-10.0,0.0005802192831152235,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,9,CPC006 H1299 6H-narciclasine-10.0,0.0006791469109190254,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,10,LJP005 PC3 24H-NVP-AUY922-0.37,0.0008417860041969778,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,11,CPC006 HCT116 6H-auranofin-10.0,0.0009195296371531131,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,12,LJP008 A549 24H-mocetinostat-0.04,0.0009997522177478497,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,13,CPC009 PC3 6H-flunisolide-10.0,0.0014992947695318503,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,14,LJP006 HA1E 24H-dasatinib-0.37,0.0016084465825751896,0.08839209943105557,False,10
SCBC NEUROD1+,reversal,15,CPC009 HEPG2 6H-BRD-K83670234-10.0,0.0027439466455563204,0.08839209943105557,False,10
