context,refit_context,rule,pathway,overlap_k,pathway_size_K,de_set_size_n,universe_N,pvalue,overlap_genes,qvalue_BH
SarcUC,SarcUC,q<0.05 & logFC>0.5,Homologous_Recombination,6,41,1172,20363,0.028730419371905208,ATM; BARD1; MRE11; PALB2; RAD52; TOP3A,0.12928688717357345
SarcUC,SarcUC,q<0.05 & logFC>0.5,PI3K_AKT_signaling,23,356,1172,20363,0.3130974736805212,ANGPT2; ATF4; CCNE1; COL6A2; CSF1; FGFR1; GNB3; GNG10; GNGT2; HGF; ITGA10; ITGB5; LPAR2; MDM2; PDGFA; PDGFB; PGF; PIK3CD; PKN1; PPP2R3B; RXRA; TSC1; VEGFC,0.5635754526249382
SarcUC,SarcUC,q<0.05 & logFC>0.5,p53_signaling,10,75,1172,20363,0.010560051959375899,ATM; CCNE1; CDKN2A; GADD45G; GTSE1; MDM2; PIDD1; RRM2; SIVA1; TP53I3,0.0633603117562554
SarcUC,SarcUC,q<0.05 & logFC>0.5,Chemokine_signaling,15,188,1172,20363,0.125626670439482,CCL13; CCL3; CDC42; CXCL16; FGR; GNB3; GNG10; GNGT2; GRK6; HCK; PIK3CD; PLCB2; PRKCB; SHC1; VAV3,0.376880011318446
SarcUC,SarcUC,q<0.05 & logFC>0.5,Cytokine_receptor_interaction,13,295,1172,20363,0.8731137350619032,CCL13; CCL3; CNTF; CSF1; CXCL16; IL10RA; IL11RA; IL15; IL21R; RELT; TGFB1; TNFRSF19; TNFRSF6B,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,Antigen_processing_presentation,3,78,1172,20363,0.8340090198700798,CTSL; NFYA; TAP1,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,PDL1_PD1_checkpoint,4,88,1172,20363,0.7529135096869455,BATF3; LAT; PIK3CD; TRAF6,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,Pentose_phosphate_pathway,1,30,1172,20363,0.8313026812693991,G6PD,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,Arachidonic_acid_metabolism,4,61,1172,20363,0.46911528098579364,GGT5; LTC4S; PLA2G4C; PTGES2,0.7036729214786904
SarcUC,SarcUC,q<0.05 & logFC>0.5,Neuroactive_ligand_receptor,13,366,1172,20363,0.9799502279628752,ADORA2A; APLN; GNRH1; GRIK2; GZMA; LPAR2; LTB4R; NR3C1; OGFR; S1PR3; TBXA2R; UCN; UCN2,0.9799502279628752
SarcUC,SarcUC,q<0.05 & logFC>0.5,Prostate_cancer,8,104,1172,20363,0.24944657280049637,ATF4; CCNE1; FGFR1; MDM2; MMP9; PDGFA; PDGFB; PIK3CD,0.5005518248976641
SarcUC,SarcUC,q<0.05 & logFC>0.5,Bladder_cancer,4,40,1172,20363,0.19660871784079495,CDKN2A; MDM2; MMP9; TYMP,0.5005518248976641
